UNDERWAY SAMPLING - GOMECC 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMT Date & Time,,Location,,Results/Flags,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,Start,End,Latitude,Longitude,SST,SST Flag,Salinity,S Flag,OXYGEN,OXYGEN_FLAG_W,O2 Temp,DIC,DIC_FLAG_W,pCO2_uatm-20C,pCO2 Flag,CARBONATE,CARBONATE_FLAG_W,TA,TA_FLAG_W,SILICATE,SILICATE_FLAG_W,NITRITE,NITRITE_FLAG_W,NITRATE,NITRATE_FLAG_W,NITRATE_NITRITE,NITRATE_NITRITE_FLAG_W,PHOSPHATE,PHOSPHATE_FLAG_W,PH_TOT,PH_TOT_FLAG_W
,,,,,,,,,UMOL/KG,,,UMOL/KG,,,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,@ 25 C,
UW-1,7/18/17 19:01:03,7/18/17 19:11:10,24.2344,-82.1918,29.716,2,35.952,2,198.318,2,N/A,2050.72,2,294.56,2,242.141,2,2458.73,2,0.6,2,0.00,2,0.02,2,0.02,2,0.01,2,8.0952,2
UW-2,7/18/17 22:00:03,7/18/17 22:03:50,24.2456,-82.4374,30.109,2,35.981,2,201.942,2,30.3,2041.51,2,289.16,2,244.503,2,2376.29,2,0.4,2,0.00,2,0.01,2,0.01,2,0.01,2,8.0892,2
UW-3,7/19/17 1:00:00,7/19/17 1:05:48,24.2875,-82.5982,29.827,2,35.743,2,196.766,2,30.6,2046.10,2,293.26,2,184.952,2,2389.08,2,0.6,2,0.00,2,0.00,2,0.00,2,0.01,2,8.1022,2
UW-4,7/19/17 3:59:00,7/19/17 4:07:11,24.4253,-83.0874,29.736,2,35.873,2,196.361,2,30.5,2050.27,2,291.03,2,194.119,2,2384.11,2,0.6,2,0.00,2,0.00,2,0.00,2,0.00,2,8.0854,2
UW-5,7/19/17 6:59:50,7/19/17 7:06:52,25.0568,-83.0731,29.988,2,35.932,2,196.463,2,30.7,2045.59,2,289.04,2,193.760,2,2377.98,2,0.5,2,0.00,2,0.00,2,0.00,2,0.00,2,8.0967,2
UW-6,7/19/17 9:58:15,7/19/17 10:03:17,25.2838,-83.0728,29.887,2,36.023,2,193.648,2,30.4,2048.35,2,292.55,2,196.437,2,2376.45,2,0.5,2,0.00,2,0.00,2,0.00,2,0.01,2,8.0921,2
UW-7,7/19/17 12:58:03,7/19/17 13:05:09,25.5117,-83.0725,29.786,2,35.737,2,193.941,2,30.5,2039.22,2,290.52,2,194.815,2,2376.48,2,0.5,2,0.00,2,0.00,2,0.00,2,0.01,2,8.0749,2
UW-8,7/19/17 15:58:24,7/19/17 16:06:01,26.1311,-83.1412,29.776,2,35.85,2,195.001,2,30.4,2047.35,2,290.85,2,193.452,2,2383.72,2,0.5,2,0.00,2,0.00,2,0.00,2,0.00,2,8.0938,2
UW-9,7/19/17 18:59:19,7/19/17 19:07:01,26.3134,-83.2365,29.918,2,36.092,2,195.164,2,30.6,2046.90,2,295.39,2,201.438,2,2383.79,2,0.5,2,0.00,2,0.00,2,0.00,2,0.00,2,8.0924,2
UW-10,7/19/17 21:59:51,7/19/17 22:12:16,26.2643,-83.4818,30.715,2,35.525,2,200.446,3,31.3,2043.15,2,285.42,2,201.226,2,2386.15,2,0.4,2,0.00,2,0.00,2,0.00,2,0.00,2,8.1022,2
UW-11,7/20/17 0:58:51,7/20/17 1:06:04,26.2139,-84.1323,30.927,2,32.813,2,197.369,2,31.6,1996.78,2,259.50,2,212.432,2,2331.48,2,0.5,2,0.00,2,0.00,2,0.00,2,0.01,2,8.1392,2
UW-12,7/20/17 4:00:50,7/20/17 4:08:14,26.1635,-84.3856,30.553,2,34.701,2,195.117,2,31.3,2027.49,2,269.57,2,190.745,4,2380.74,2,0.9,2,0.00,2,0.00,2,0.00,2,0.00,2,8.1233,2
UW-13,7/20/17 6:59:51,7/20/17 7:05:24,26.1138,-85.0325,29.968,2,36.305,2,193.46,2,30.6,2031.75,2,281.64,2,201.522,2,2368.86,2,0.5,2,0.00,2,0.00,2,0.00,2,0.00,2,-999.0000,9
UW-14,7/20/17 9:57:42,7/20/17 10:03:42,26.0646,-85.2800,29.968,2,36.27,2,192.935,2,30.6,2028.56,2,281.00,2,206.643,2,2370.32,2,0.7,2,0.00,2,0.00,2,0.00,2,0.00,2,8.1041,2
UW-15,7/20/17 12:58:27,7/20/17 13:06:19,26.0145,-85.5294,30.089,2,36.295,2,193.979,2,30.8,2029.80,2,288.15,2,206.095,2,2370.06,2,0.8,2,0.00,2,0.00,2,0.00,2,0.00,2,8.0989,2
